iter	Passed	Remaining
0	1	109
1	1	97
2	2	94
3	3	89
4	4	90
5	6	94
6	6	92
7	7	90
8	8	90
9	9	89
10	10	86
11	11	84
12	12	83
13	13	82
14	14	80
15	15	78
16	15	77
17	16	76
18	17	74
19	18	73
20	19	72
21	20	72
22	21	71
23	22	70
24	23	70
25	24	69
26	25	68
27	26	67
28	27	66
29	28	65
30	29	64
31	29	63
32	30	62
33	32	62
34	32	61
35	33	59
36	34	59
37	35	58
38	36	57
39	37	56
40	38	55
41	39	54
42	40	53
43	40	52
44	41	50
45	42	50
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	48	44
52	48	43
53	49	42
54	50	41
55	51	40
56	52	39
57	53	38
58	54	37
59	55	36
60	56	35
61	57	34
62	58	34
63	59	33
64	60	32
65	60	31
66	61	30
67	62	29
68	63	28
69	64	27
70	65	26
71	66	25
72	67	24
73	67	23
74	68	22
75	70	22
76	70	21
77	71	20
78	72	19
79	73	18
80	74	17
81	75	16
82	76	15
83	77	14
84	78	13
85	78	12
86	79	11
87	80	11
88	81	10
89	82	9
90	83	8
91	84	7
92	85	6
93	85	5
94	86	4
95	87	3
96	88	2
97	89	1
98	90	0
99	91	0
